wave,S0,H0,Vi0,gamma,s1,t_s,alpha,h1,t_h,cum_cases,RSD,t_qz,t_cure,t_now,G0_pre,H0_pre
1,0.525968614,0.014138363,0.999999645,0.153900373,1,0.324446049,0.037088503,0.49999684,96.36716643,395,0.41245771,29,66,59,0.525968614,0.014138363
2,0.209205789,4.66E-06,0.999999935,0.345939092,0.997319552,4.833981404,0.340387652,0.135603134,31.19705649,335,0.382471366,17,31,44,0.209205789,4.66E-06
